RYE,28064,,TRUE
RYE SEED,28064,4,TRUE
GRASS SEED,28066,,TRUE
RICE,28072,,TRUE
GRAIN,28078,,TRUE
SALSIFY,28504,,TRUE
ORCHARD FLOOR,28509,94,TRUE
BARLEY SEED,29103,4,TRUE
BARLEY,29103,,TRUE
BEET SEED,29109,4,TRUE
BEET,29109,,TRUE
CARROT PROCESS,29111,89,TRUE
CARROT SEED,29111,4,TRUE
CARROT,29111,,TRUE
CELERY,29113,,TRUE
CELERY SEED,29113,4,TRUE
CORN SEED,29119,4,TRUE
"CORN, HUMAN CON",29119,,TRUE
COTTON,29121,,TRUE
COTTON PIMA,29121,10,TRUE
COTTON SEED,29121,4,TRUE
CRENSHAW MELON,29122,11,TRUE
CASABA MELON,29122,10,TRUE
MUSK MELON,29122,14,TRUE
MELON,29122,,TRUE
MELON SEED,29122,4,TRUE
HONEYBALL MELON,29122,12,TRUE
HONEYDEW MELON,29122,13,TRUE
SANTA CLARA MLN,29122,16,TRUE
SHARLYN MELON,29122,17,TRUE
PERSIAN MELON,29122,15,TRUE
MUSTARD,29123,,TRUE
OAT SEED,29125,4,TRUE
OAT,29125,,TRUE
PEANUT,29126,,TRUE
PEAS PROCESSING,29127,89,TRUE
PEAS SEED,29127,4,TRUE
PEAS,29127,,TRUE
SAFFLOWER,29129,,TRUE
SAFFLOWER SEED,29129,4,TRUE
SORGHUM MILO,29131,,TRUE
SORGHUM SEED,29131,4,TRUE
SUNFLOWER,29133,,TRUE
SUNFLOWER SEED,29133,4,TRUE
SUGARBEET,29135,,TRUE
TOMATO PROCESS,29136,,TRUE
TURNIP,29137,,TRUE
TURNIP SEED,29137,4,TRUE
WHEAT,29139,,TRUE
WHEAT SEED,29139,4,TRUE
GRAPE,29141,,TRUE
"GRAPE, RAISIN",29141,89,TRUE
"GRAPE, WINE",29143,,TRUE
"FOREST, TMBRLND",30000,,TRUE
CHRISTMAS TREE,30005,,TRUE
TURF/SOD,33008,,TRUE
SOIL FUM/PREPLT,40008,,TRUE
DRIED FRUIT,43026,,TRUE
STORAGE AREA/BX,46000,,TRUE
GRANARY,46502,,TRUE
LIVESTOCK,52000,,TRUE
CATTLE,52003,,TRUE
"SHEEP, LAMB",52013,,TRUE
PIG,52018,,TRUE
POULTRY,55000,,TRUE
CHICKEN,55001,,TRUE
DUCK,55002,,TRUE
TURKEY,55008,,TRUE
EGG,55501,,TRUE
HORSE,56005,,TRUE
DAIRY EQUIPMENT,60000,,TRUE
ANIMAL PREMISE,61001,,TRUE
GREENHOUSE FUMI,61006,,TRUE
MUSHROOM HOUSE,61007,,TRUE
BEEHIVE,61008,,TRUE
HOUSEHOLD,63000,,TRUE
"LUMBER, TREATED",64500,,TRUE
WATER AREA,65000,,TRUE
SWIMMING POOL,65011,,TRUE
WATER FILTER,65015,,TRUE
"DITCH, BANK",65021,,TRUE
WATER (INDSTRL),65503,,TRUE
UNCULTIVATED AG,66000,,TRUE
UNCUL NON-AG,67000,,TRUE
AIRPORT,67001,,TRUE
RECREATION AREA,67002,,TRUE
BLDS/NO-AG OTDR,67003,,TRUE
RESIDENTIAL,68002,,TRUE
BOAT/PIER,69000,,TRUE
FOOD PROC. PLNT,71000,,TRUE
RESTAURANT,72000,,TRUE
HOSPITAL,74000,,TRUE
INDUSTRIAL SITE,77000,,TRUE
CUCUMBER SEED,10010,4,TRUE
SQUASH SEED,10012,4,TRUE
EGGPLANT SEED,11001,4,TRUE
NAPA CABBAGE SE,13010,4,TRUE
CORN SALAD,13013,,TRUE
TAT SO I(SPINAC,13515,,TRUE
RADICCHIO,13524,,TRUE
BROCCOFLOWER,13525,,TRUE
GARBANZO BEAN,15032,,TRUE
TRITICAL,24011,,TRUE
FAVA BEAN,28059,,TRUE
"CORN, SWEET",29119,1,TRUE
ASIAN PEAR,4501,,TRUE
PLUOT,5505,,TRUE
FARM/AG BLDG,61000,,TRUE
OREGANO,8026,,TRUE
ROSEMARY,8032,,TRUE
